Gender,Age,Education,Occupation,State,Relationship_Status,Obligation_Rating,Obligation_Category,NEP,Vacation_Behaviour,Rest_and_relax,Luxury_be spoilt,Do_sports,excitement_a_challenge,Not_exceed_planned_budget,Realise_creativity,Fun_and_entertainment,Good_company,Health_and_beauty,Free_and_easy_going,Entertainment_facilities,Not_care_about_prices,Life_style_of_the_local_people,Intense_Experience_of_Nature,Cosiness_or_Familiar_Atmosphere,Maintain_Unspoilt_Surroundings,Everything_Organised,Unspoilt_Nature_or_Natural_Landscape,Cultural_Offers,Change_of_Surroundings,Income_Doller_k,Expenditure_Doller_k
Female,55,6,manager or administrator,WA,married,3.700,Q2,3.000,3.208,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,19,1,unemployed,WA,single,3.100,Q1,4.067,2.692,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,,
Male,60,7,retired,WA,married,3.267,Q1,3.800,3.167,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,,
Female,26,6,home-duties,SA,married,3.933,Q3,3.800,3.364,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,,
Male,55,8,manager or administrator,VIC,living with a partner,4.433,Q4,4.133,2.700,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,yes,,
Male,56,7,Clerical or service worker,VIC,married,4.300,Q4,3.267,2.500,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,,
Female,61,6,Clerical or service worker,VIC,married,3.433,Q2,3.133,2.931,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,,
Male,44,6,home-duties,QLD,married,3.300,Q1,3.333,2.633,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,31,1,home-duties,QLD,married,3.367,Q1,3.333,2.034,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,,
Female,42,2,professional,VIC,single,3.633,Q2,4.067,3.875,yes,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,,
Male,63,1,retired,NSW,married,3.467,Q2,4.467,3.033,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,,
Female,34,7,professional,WA,married,3.400,Q2,3.600,2.731,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,31,3,small business owner,NSW,married,3.900,Q3,4.333,3.071,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,,
Male,46,3,small business owner,NSW,living with a partner,4.267,Q4,4.200,3.125,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,,
Female,21,3,unemployed,VIC,single,3.933,Q3,4.000,2.560,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,30,3,unemployed,WA,living with a partner,4.033,Q3,3.933,3.238,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,,
Male,39,1,labourer,VIC,married,4.367,Q4,3.933,3.944,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,,
Female,19,2,sales,QLD,single,3.967,Q3,3.733,3.038,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,23,7,Clerical or service worker,NSW,single,4.033,Q3,3.467,3.433,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,,
Male,46,8,professional,SA,married,3.067,Q1,4.733,3.636,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,,
Female,39,4,sales,WA,married,2.267,Q1,2.933,3.500,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,39,4,manager or administrator,NSW,single,4.567,Q4,4.933,3.429,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,,
Female,19,,,VIC,single,3.400,Q2,3.133,2.375,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,,
Female,59,8,manager or administrator,SA,separated or divorced,3.100,Q1,3.600,1.700,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,,
Male,76,3,retired,VIC,married,3.600,Q2,4.133,1.900,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,,
Female,36,3,Clerical or service worker,QLD,married,4.433,Q4,3.533,2.367,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,55,2,retired,SA,married,3.633,Q2,3.667,2.813,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,,
Male,28,8,professional,VIC,married,4.833,Q4,4.200,3.207,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,,
Female,33,7,sales,VIC,single,4.400,Q4,4.467,3.571,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,59,7,,QLD,married,3.733,Q2,3.200,2.346,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,,
Male,41,7,professional,QLD,married,3.567,Q2,2.933,2.667,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,yes,,
Male,62,8,professional,QLD,married,3.200,Q1,3.200,2.310,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,,
Male,70,3,retired,VIC,widowed,3.700,Q2,3.533,3.778,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,,
Male,64,1,manager or administrator,QLD,living with a partner,4.767,Q4,4.933,2.033,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,,
Female,30,7,manager or administrator,WA,married,4.600,Q4,4.400,3.850,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,,
Male,48,2,professional,VIC,married,3.967,Q3,4.133,3.167,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,,
Male,65,1,retired,QLD,separated or divorced,4.067,Q3,3.600,3.304,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,,
Male,57,6,tradesperson,NSW,married,3.367,Q1,3.267,2.667,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,58,8,professional,QLD,married,3.900,Q3,3.400,3.074,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,,
Female,36,7,unemployed,WA,married,3.900,Q3,3.533,3.333,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,,
Female,56,6,Clerical or service worker,NSW,single,3.667,Q2,3.400,2.750,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,,
Female,43,6,small business owner,NSW,married,2.933,Q1,2.867,2.300,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,32,7,professional,NSW,single,3.567,Q2,4.000,2.273,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,,
Male,34,8,manager or administrator,QLD,married,3.400,Q2,3.000,2.071,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,31,4,manager or administrator,QLD,married,4.067,Q3,4.333,3.231,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,,
Male,69,6,small business owner,NSW,married,4.267,Q4,3.733,3.400,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,yes,,
Female,36,8,professional,VIC,single,3.600,Q2,2.733,2.429,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,41,8,professional,VIC,separated or divorced,4.333,Q4,4.000,2.875,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,,
Female,48,7,sales,QLD,married,3.667,Q2,4.533,2.000,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,,
Male,36,3,sales,QLD,married,3.867,Q3,4.333,3.048,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,,
Male,59,1,manager or administrator,SA,living with a partner,4.200,Q3,3.133,3.533,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,,
Female,56,7,Clerical or service worker,NSW,married,4.133,Q3,3.133,3.182,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,yes,,
Female,19,1,,NSW,living with a partner,3.700,Q2,4.533,2.958,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,,
Male,36,4,manager or administrator,NSW,married,4.233,Q4,3.000,2.933,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,34,7,professional,QLD,married,3.967,Q3,3.267,2.810,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,,
Male,33,3,,WA,living with a partner,4.167,Q3,3.733,2.583,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,,
Female,62,2,unemployed,SA,separated or divorced,4.433,Q4,3.733,2.967,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,,
Male,57,8,professional,NSW,separated or divorced,4.667,Q4,3.400,3.840,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,yes,yes,yes,,
Male,40,7,manager or administrator,SA,separated or divorced,4.200,Q3,2.800,3.304,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,,
Male,67,1,retired,SA,living with a partner,3.100,Q1,3.067,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,27,7,professional,NSW,living with a partner,4.100,Q3,3.667,2.828,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,,
Male,34,6,manager or administrator,NSW,married,2.600,Q1,3.733,2.474,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,,
Male,59,7,professional,VIC,married,3.400,Q2,3.133,2.688,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Male,33,8,professional,NSW,married,3.200,Q1,3.533,2.000,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,,
Female,43,7,professional,QLD,living with a partner,3.633,Q2,3.200,1.828,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,55,8,manager or administrator,QLD,married,4.900,Q4,4.267,,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,,
Female,21,7,unemployed,QLD,single,3.667,Q2,3.333,2.704,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,,
Male,57,7,professional,QLD,living with a partner,4.000,Q3,3.400,3.214,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,,
Male,53,6,sales,NSW,married,4.433,Q4,3.467,3.950,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,,
Female,41,3,home-duties,WA,married,3.300,Q1,3.333,2.476,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,42,4,professional,VIC,married,3.733,Q2,4.400,2.700,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,,
Male,63,6,professional,VIC,married,4.333,Q4,4.867,3.333,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,,
Male,23,7,,NSW,single,2.967,Q1,3.400,2.727,yes,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,,
Male,48,2,manager or administrator,NSW,married,3.100,Q1,3.467,2.367,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,,
Female,30,2,Clerical or service worker,VIC,single,4.433,Q4,4.533,3.067,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,,
Female,29,8,professional,WA,single,3.767,Q2,3.600,2.333,yes,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,,
Male,28,7,professional,QLD,living with a partner,3.700,Q2,3.200,2.962,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,,
Male,55,8,professional,NSW,married,3.733,Q2,4.200,1.778,yes,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,,
Female,64,2,retired,QLD,married,3.833,Q3,3.400,3.600,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,yes,yes,no,,
Female,47,7,manager or administrator,SA,living with a partner,4.033,Q3,4.733,2.300,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,,
Female,33,4,unemployed,WA,married,4.033,Q3,3.867,4.286,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,,
Male,21,3,tradesperson,SA,living with a partner,3.600,Q2,3.800,2.233,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,yes,,
Male,19,2,,QLD,living with a partner,3.267,Q1,4.267,2.222,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,yes,,
Female,39,8,manager or administrator,ACT,single,3.800,Q2,3.400,2.100,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,,
Female,29,6,manager or administrator,NSW,living with a partner,2.600,Q1,4.200,3.357,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,,
Female,43,1,home-duties,NSW,single,4.667,Q4,3.133,2.633,yes,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,,
Male,35,7,professional,VIC,married,2.767,Q1,2.400,1.600,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,,
Male,29,7,professional,NSW,single,3.167,Q1,2.933,2.241,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,no,yes,,
Female,46,1,small business owner,QLD,married,3.433,Q2,4.133,3.462,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,,
Male,55,6,transport worker,VIC,married,2.933,Q1,3.267,3.000,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,,
Male,34,8,professional,QLD,married,3.033,Q1,3.267,2.700,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,,
Female,36,3,professional,VIC,married,3.300,Q1,3.333,2.483,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,,
Female,51,2,home-duties,QLD,married,4.267,Q4,4.667,3.250,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,,
Female,26,8,manager or administrator,QLD,married,3.633,Q2,2.933,2.700,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,,
Female,28,7,Clerical or service worker,NSW,married,2.933,Q1,4.067,2.333,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,yes,,
Male,55,1,retired,QLD,living with a partner,4.633,Q4,4.733,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,35,3,sales,SA,married,3.633,Q2,3.133,,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,47,8,small business owner,VIC,living with a partner,4.233,Q4,3.733,2.517,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,no,yes,yes,,
Female,42,1,Clerical or service worker,SA,separated or divorced,3.833,Q3,3.733,3.000,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,,
Female,61,7,retired,NSW,married,3.933,Q3,3.800,2.941,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,,
Male,70,2,manager or administrator,VIC,married,3.267,Q1,3.800,1.690,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes,,
Female,62,6,small business owner,VIC,married,3.900,Q3,4.067,1.966,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,,
Female,59,3,Clerical or service worker,QLD,married,4.367,Q4,3.933,3.667,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,,
Male,60,3,retired,NSW,single,4.100,Q3,3.467,2.867,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,,
Male,22,3,professional,NSW,single,2.800,Q1,2.733,2.067,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,,
Male,64,6,manager or administrator,VIC,married,4.700,Q4,3.800,3.464,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,,
Male,35,7,professional,Tas,single,2.867,Q1,3.000,2.167,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,,
Male,64,7,retired,NSW,married,3.800,Q2,4.267,3.176,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,,
Male,43,7,professional,QLD,single,4.133,Q3,4.000,3.467,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,,
Male,45,3,transport worker,QLD,married,4.033,Q3,3.133,2.833,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,52,6,professional,VIC,married,4.567,Q4,4.733,3.821,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,,
Female,52,2,,NSW,married,3.933,Q3,3.200,3.294,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,,
Female,28,6,manager or administrator,VIC,married,3.733,Q2,3.467,2.233,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,64,3,retired,VIC,married,3.733,Q2,4.267,3.556,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,,
Male,39,3,tradesperson,WA,single,3.567,Q2,3.667,2.633,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,41,1,unemployed,VIC,married,3.867,Q3,4.267,2.393,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,62,2,retired,VIC,married,4.467,Q4,4.400,,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,yes,no,yes,no,,
Male,62,6,retired,VIC,married,3.500,Q2,3.133,2.833,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,,
Male,38,7,professional,NSW,single,4.467,Q4,3.800,3.000,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,,
Female,37,3,Clerical or service worker,NSW,married,3.500,Q2,3.600,2.893,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,,
Male,33,6,Clerical or service worker,QLD,separated or divorced,3.233,Q1,3.933,2.778,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,,
Female,41,4,home-duties,NSW,married,2.567,Q1,4.267,1.633,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,37,3,unemployed,VIC,living with a partner,4.367,Q4,4.867,4.222,yes,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,yes,,
Female,64,2,home-duties,VIC,married,4.100,Q3,4.133,3.400,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,,
Male,56,3,manager or administrator,SA,,4.200,Q3,4.200,3.000,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,,
Female,50,4,home-duties,VIC,single,4.067,Q3,3.933,4.222,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,,
Male,52,4,professional,Tas,married,3.867,Q3,4.667,3.200,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,34,8,professional,QLD,separated or divorced,3.033,Q1,3.467,1.909,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,62,2,manager or administrator,WA,married,4.267,Q4,4.333,2.000,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,,
Male,19,3,sales,QLD,single,4.833,Q4,3.200,3.828,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,,
Male,55,1,manager or administrator,NSW,married,2.833,Q1,3.133,3.200,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,,
Male,35,7,manager or administrator,VIC,single,3.000,Q1,3.600,1.933,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,,
Female,46,6,Clerical or service worker,NSW,separated or divorced,4.067,Q3,3.200,2.800,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,,
Male,62,2,tradesperson,NSW,married,4.367,Q4,3.867,4.091,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,yes,,
Female,56,7,professional,NT,separated or divorced,3.767,Q2,3.400,3.500,yes,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,,
Female,22,7,professional,VIC,single,3.533,Q2,3.467,3.563,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,,
Female,67,4,retired,SA,married,4.867,Q4,3.667,3.714,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,29,7,manager or administrator,NSW,single,3.400,Q2,3.867,3.033,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,,
Female,20,3,manager or administrator,QLD,single,3.167,Q1,2.800,1.759,yes,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,,
Male,53,2,home-duties,SA,married,4.233,Q4,4.000,2.692,yes,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,,
Female,31,3,home-duties,Tas,married,1.333,Q1,3.533,4.600,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,27,6,professional,WA,living with a partner,4.500,Q4,4.400,3.630,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,yes,yes,,
Female,45,6,manager or administrator,NSW,married,3.733,Q2,3.333,2.333,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,,
Female,59,1,retired,VIC,married,3.933,Q3,3.333,2.800,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,,
Male,32,6,manager or administrator,VIC,married,3.300,Q1,2.333,3.471,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,,
Male,57,2,small business owner,WA,married,4.567,Q4,4.600,4.000,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,,
Female,56,8,professional,NSW,married,4.067,Q3,4.133,2.350,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,,
Female,37,3,manager or administrator,VIC,married,3.400,Q2,3.933,3.059,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,,
Female,48,4,professional,QLD,married,3.700,Q2,3.600,3.222,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,,
Female,53,2,Clerical or service worker,VIC,married,4.100,Q3,3.600,2.789,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,,
Female,26,7,manager or administrator,QLD,married,2.567,Q1,3.467,1.733,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Male,36,3,professional,VIC,separated or divorced,3.533,Q2,4.133,2.600,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,40,3,Clerical or service worker,NSW,married,3.500,Q2,3.867,3.133,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,,
Male,62,1,small business owner,QLD,married,3.767,Q2,4.067,3.700,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,,
Female,40,2,Clerical or service worker,NSW,single,2.900,Q1,2.933,2.231,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,,
Male,66,3,retired,QLD,separated or divorced,3.333,Q1,3.600,2.367,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,,
Female,39,1,unemployed,VIC,married,3.967,Q3,3.600,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,58,7,professional,NSW,separated or divorced,4.033,Q3,3.133,3.467,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Male,60,8,professional,NSW,married,4.033,Q3,3.600,3.269,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,,
Female,46,2,manager or administrator,NSW,married,4.067,Q3,4.267,4.050,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,,
Female,35,3,manager or administrator,QLD,married,2.733,Q1,3.067,2.033,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,yes,,
Female,39,3,home-duties,QLD,married,3.200,Q1,3.133,2.000,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,,
Female,42,1,unemployed,VIC,single,2.800,Q1,3.333,,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,
Female,22,6,sales,VIC,single,4.233,Q4,3.800,3.172,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,,
